Video #,Time (seconds),Converted Time,Observation,Comments
13,9323,0.107905093,1 T 4,
13,9324,0.107916667,1 C 3,
13,9344,0.108148148,1 C 3,
13,9347,0.10818287,1 T 4,
13,9348,0.108194444,1 C 4,
13,9352,0.108240741,1 C 4,
13,9355,0.108275463,1 C 3,
13,9366,0.108402778,1 C 3,
13,9368,0.108425926,2 T 4,
13,9370,0.108449074,2 T 4,
13,9381,0.108576389,2 T 3,
13,9383,0.108599537,2 T 4,
13,9391,0.10869213,2 T 4,
13,9400,0.108796296,2 T 1,
13,9432,0.109166667,1 T 4,
13,9435,0.109201389,2 T 3,
13,9439,0.109247685,1 T 2,
13,9456,0.109444444,2 T 3,
13,9466,0.109560185,2 B 3,
13,9468,0.109583333,1 C 3,
13,9484,0.109768519,2 T 4,
13,9488,0.109814815,2 C 4,
13,9491,0.109849537,2 T 3,
13,9492,0.109861111,2 T 3,
13,9527,0.110266204,2 T 1,
13,9531,0.1103125,1 C 4,
13,9533,0.110335648,1 T 3,
13,9536,0.11037037,1 C 3,
13,9539,0.110405093,1 C 3,
13,9541,0.110428241,2 T 3,
13,9544,0.110462963,2 T 4,
13,9546,0.110486111,1 T 3,
13,9548,0.110509259,1 T 3,
13,9549,0.110520833,1 T 2,
13,9570,0.110763889,1 T 3,
13,9571,0.110775463,1 C 3,
13,9593,0.111030093,2 T 3,
13,9607,0.11119213,end experiment,
14,9608,0.111203704,2 T 1,
14,9640,0.111574074,3 T 4,
14,9642,0.111597222,3 C 4,
14,9655,0.111747685,3 C 2,
14,9661,0.11181713,3 T 2,
14,9661,0.11181713,3 C 2,
14,9665,0.111863426,3 T 4,
14,9670,0.111921296,3 T 2,
14,9671,0.11193287,3 T 2,
14,9679,0.112025463,3 T 4,
14,9680,0.112037037,2 T 4,
14,9681,0.112048611,3 T 1,
14,9682,0.112060185,3 T 2,
14,9683,0.112071759,3 C 2,
14,9686,0.112106481,3 C 4,
14,9689,0.112141204,3 C 2,
14,9692,0.112175926,3 T 1,
14,9718,0.112476852,3 C 1,
14,9743,0.112766204,3 T 2,
14,9744,0.112777778,3 T 2,
14,9745,0.112789352,3 C 2,
14,9746,0.112800926,3 C 1,
14,9762,0.112986111,3 C 1,
14,9764,0.113009259,3 C 1,
14,9771,0.113090278,3 C 2,
14,9785,0.113252315,1 T 2,
14,9786,0.113263889,1 C 4,
14,9788,0.113287037,1 T 4,
14,9789,0.113298611,1 T 4,
14,9792,0.113333333,3 C 4,
14,9793,0.113344907,3 T 4,
14,9794,0.113356481,3 T 2,
14,9795,0.113368056,3 C 2,
14,9800,0.113425926,3 C 4,
14,9801,0.1134375,3 T 4,
14,9808,0.113518519,1 C 2,
14,9808,0.113518519,1 T 2,
14,9817,0.113622685,3 C 1,
14,9837,0.113854167,3 C 2,
14,9839,0.113877315,3 C 2,
14,9840,0.113888889,3 B 4,
14,9845,0.113946759,3 C 2,
14,9900,0.114583333,3 T 4,
14,9917,0.114780093,3 T 4,
14,9930,0.114930556,3 T 4,
14,9940,0.115046296,3 T 4,
14,9941,0.11505787,3 T 4,
14,9949,0.115150463,3 T 4,
14,9951,0.115173611,3 T 1,
14,9954,0.115208333,3 C 4,
14,9957,0.115243056,3 C 2,
14,9959,0.115266204,3 T 1,
14,9960,0.115277778,3 T 2,
14,10009,0.115844907,2 T 4,
14,10056,0.116388889,1 T 4,
14,10143,0.117395833,2 T 1,
14,10144,0.117407407,1 C 4,
14,10156,0.117546296,3 T 2,
14,10158,0.117569444,3 T 4,
14,10159,0.117581019,3 T 4,
14,10160,0.117592593,3 T 4,
14,10161,0.117604167,3 C 4,
14,10165,0.117650463,3 C 1,
14,10171,0.117719907,3 T 4,
14,10171,0.117719907,3 C 4,
14,10173,0.117743056,3 T 1,
14,10175,0.117766204,3 C 4,
14,10182,0.117847222,1 C 4,
14,10183,0.117858796,3 C 4,
14,10184,0.11787037,1 T 4,
14,10185,0.117881944,3 T 1,
14,10186,0.117893519,3 T 1,
14,10191,0.117951389,3 T 2,
14,10192,0.117962963,3 C 1,
14,10192,0.117962963,3 C 2,
14,10207,0.118136574,3 T 4,
14,10252,0.118657407,1 C 4,
14,10292,0.11912037,end experiment,
15,10338,0.119652778,1 T 4,
15,10342,0.119699074,3 B 4,
15,10343,0.119710648,3 C 4,
15,10346,0.11974537,3 C 1,
15,10347,0.119756944,3 C 1,
15,10398,0.120347222,1 T 4,
15,10400,0.12037037,1 T 4,
15,10401,0.120381944,1 C 4,
15,10412,0.120509259,3 T 4,
15,10420,0.120601852,3 T 1,
15,10421,0.120613426,3 T 4,"3 T 1, then 4, notcodable after"
15,10437,0.120798611,1 T 4,
15,10439,0.120821759,1 T 4,
15,10567,0.122303241,3 C 2,
15,10569,0.122326389,3 C 2,
15,10573,0.122372685,3 T 2,
15,10574,0.122384259,1 T 4,
15,10578,0.122430556,3 T 2,
15,10596,0.122638889,3 C 2,
15,10618,0.122893519,1 T 2,
15,10620,0.122916667,1 C 4,
15,10620,0.122916667,3 T 2,
15,10622,0.122939815,3 T 1,
15,10623,0.122951389,1 C 2,
15,10624,0.122962963,1 T 2,
15,10626,0.122986111,1 C 2,
15,10629,0.123020833,1 C 4,
15,10633,0.12306713,1 T 4,
15,10635,0.123090278,1 C 4,
15,10643,0.12318287,4 B 2,
15,10647,0.123229167,3 T 4,
15,10655,0.123321759,4 C 2,
15,10658,0.123356481,3 T 4,
15,10660,0.12337963,3 T 2,
15,10662,0.123402778,3 T 2,
15,10663,0.123414352,3 T 2,
15,10665,0.1234375,3 C 2,
15,10685,0.123668981,1 C 4,
15,10686,0.123680556,1 C 4,
15,10688,0.123703704,1 T 4,
15,10689,0.123715278,1 B 4,
15,10690,0.123726852,1 C 4,
15,10692,0.12375,1 T 4,
15,10694,0.123773148,3 T 4,
15,10695,0.123784722,1 C 4,
15,10699,0.123831019,3 T 4,
15,10700,0.123842593,3 T 2,
15,10701,0.123854167,3 T 2,
15,10703,0.123877315,3 T 2,
15,10704,0.123888889,1 T 4,
15,10708,0.123935185,3 T 4,
15,10710,0.123958333,3 T 1,
15,10713,0.123993056,3 T 2,
15,10718,0.124050926,1 T 2,
15,10721,0.124085648,3 C 2,
15,10725,0.124131944,1 T 2,
15,10727,0.124155093,3 T 1,
15,10728,0.124166667,3 C 2,
15,10732,0.124212963,1 T 2,
15,10734,0.124236111,3 T 2,
15,10735,0.124247685,3 C 2,
15,10738,0.124282407,1 T 2,
15,10752,0.124444444,1 T 2,
15,10755,0.124479167,3 T 2,
15,10756,0.124490741,1 T 2,
15,10757,0.124502315,1 C 2,
15,10800,0.125,1 T 4,
15,10801,0.125011574,1 T 2,
15,10803,0.125034722,1 T 4,
15,10804,0.125046296,1 T 2,Check - Didn't see that as chase
15,10806,0.125069444,1 T 4,
15,10812,0.125138889,3 T 2,
15,10816,0.125185185,3 T 2,
15,10817,0.125196759,3 T 2,
15,10819,0.125219907,1 T 2,
15,10821,0.125243056,3 T 2,
15,10824,0.125277778,3 T 2,
15,10825,0.125289352,3 T 4,
15,10826,0.125300926,3 T 2,Check - Agree with 3 T 2
15,10827,0.1253125,3 T 4,
15,10829,0.125335648,3 T 4,
15,10833,0.125381944,1 T 4,
15,10836,0.125416667,1 T 2,
15,10837,0.125428241,3 T 4,
15,10841,0.125474537,1 T 2,
15,10843,0.125497685,1 T 4,
15,10853,0.125613426,3 T 2,
15,10855,0.125636574,3 T 2,
15,10858,0.125671296,1 T 2,
15,10861,0.125706019,3 T 2,
15,10866,0.125763889,3 C 2,
15,10868,0.125787037,3 T 1,
15,10869,0.125798611,1 T 2,
15,10870,0.125810185,3 C 1,
15,10871,0.125821759,3 C 2,
15,10872,0.125833333,3 C 2,
15,10872,0.125833333,1 C 4,
15,10874,0.125856481,1 T 4,
15,10878,0.125902778,1 C 4,
15,10881,0.1259375,3 C 2,
15,10883,0.125960648,1 C 4,
15,10884,0.125972222,1 C 4,
15,10890,0.126041667,1 T 4,
15,10891,0.126053241,1 C 4,
15,10896,0.126111111,3 T 4,
15,10898,0.126134259,1 T 4,
15,10900,0.126157407,1 C 4,
15,10923,0.126423611,2 T 4,
15,10951,0.126747685,3 T 4,
15,10964,0.126898148,3 C 2,
15,10977,0.127048611,end experiment,
16,10980,0.127083333,3 T 4,
16,10987,0.127164352,3 T 4,
16,10994,0.12724537,3 T 2,
16,10995,0.127256944,3 T 4,
16,10997,0.127280093,1 T 4,
16,11011,0.12744213,1 T 4,
16,11015,0.127488426,3 B 2,
16,11017,0.127511574,3 T 2,
16,11103,0.128506944,2 T 1,
16,11104,0.128518519,1 T 2,
16,11105,0.128530093,1 T 2,
16,11123,0.128738426,3 C 2,
16,11124,0.12875,3 C 4,
16,11125,0.128761574,3 T 2,
16,11143,0.128969907,1 C 4,
16,11144,0.128981481,1 T 2,
16,11168,0.129259259,2 T 4,
16,11179,0.129386574,3 C 4,
16,11187,0.129479167,3 C 4,
16,11190,0.129513889,1 T 4,
16,11201,0.129641204,3 T 4,
16,11204,0.129675926,4 T 1,
16,11205,0.1296875,1 C 4,
16,11206,0.129699074,1 T 4,
16,11209,0.129733796,1 C 4,
16,11211,0.129756944,1 C 4,
16,11213,0.129780093,1 C 4,
16,11214,0.129791667,1 C 2,
16,11222,0.129884259,1 T 2,
16,11224,0.129907407,3 C 2,
16,11232,0.13,3 C 4,
16,11247,0.130173611,3 T 2,
16,11250,0.130208333,3 T 4,
16,11251,0.130219907,3 C 4,
16,11257,0.130289352,3 T 4,
